etapa,duracion_seg,timestamp
1_lectura_csvs_crudos,0.078,2026-03-25T23:58:06.154429
2a_perfilado,0.145,2026-03-25T23:58:06.304562
2b_reglas_calidad,0.016,2026-03-25T23:58:06.320975
3a_limpieza_y_pii,0.063,2026-03-25T23:58:06.384092
3b_guardar_clean_csvs,0.085,2026-03-25T23:58:06.469757
4_carga_mysql,2.307,2026-03-25T23:58:09.028633
5_queries_y_exportacion,0.307,2026-03-25T23:58:09.337630
6a_log_transformaciones,0.004,2026-03-25T23:58:09.344627
6b_reporte_calidad,0.002,2026-03-25T23:58:09.348953
